,Date,Load,System Generation
617,2016-12-04,178549.7302889,184432.3099706
618,2016-12-05,191785.305277,192371.6125791
619,2016-12-06,195101.6656014,198415.7943467
620,2016-12-07,195450.9947516,198181.9927063
621,2016-12-08,198060.2991419,201402.8146636
622,2016-12-09,197565.8313475,201689.3346541
623,2016-12-10,193985.6336499,195684.2723855
624,2016-12-11,192925.0619779,194220.3704482
625,2016-12-12,195445.3093964,195485.0897958
626,2016-12-13,192532.7555703,195610.7730166
627,2016-12-14,193926.0240174,195947.3308132
628,2016-12-15,196870.7052889,198053.2286508
629,2016-12-16,200180.0460583,200107.3440483
630,2016-12-17,195206.936379,196765.6448697
631,2016-12-18,184468.3605675,190326.6970783
632,2016-12-19,187510.1705092,190615.7132665
633,2016-12-20,186302.4019478,187550.8460423
634,2016-12-21,186795.3206564,192605.3056449
635,2016-12-22,183597.2561121,192391.2967916
636,2016-12-23,184470.4257241,190099.0810671
637,2016-12-24,177880.751738,183674.3531064
638,2016-12-25,176031.5474786,175372.7521223
639,2016-12-26,178378.2726064,180019.1441617
640,2016-12-27,177414.5519151,180324.158376
641,2016-12-28,181895.6013205,187093.7786664
642,2016-12-29,181728.4986502,186494.182287
643,2016-12-30,177876.6583355,180649.629867
644,2016-12-31,172356.6811301,177415.0368567
645,2017-01-01,174767.9670954,179189.92277540002
646,2017-01-02,185226.0727999,187583.0088294
647,2017-01-03,192156.8963266,196948.242123
648,2017-01-04,187712.5894306,192929.8210221
649,2017-01-05,186575.2468865,193543.7416286
650,2017-01-06,190601.1609668,199098.82494690001
651,2017-01-07,186335.631378,197871.3899811
652,2017-01-08,184106.4032687,190734.73669700001
653,2017-01-09,192294.25550210002,197980.2655927
654,2017-01-10,194809.6123421,200198.01929
655,2017-01-11,193678.2954374,199820.6346629
656,2017-01-12,191655.6917488,197548.7567461
657,2017-01-13,186534.2965563,190975.8949695
658,2017-01-14,175299.7404886,177745.6842561
659,2017-01-15,168705.699912,171019.4935434
660,2017-01-16,179354.4077758,183197.5396825
661,2017-01-17,176098.1313561,185042.1258024
662,2017-01-18,176133.0676672,180961.5229247
663,2017-01-19,177261.390827,180170.5043508
664,2017-01-20,176125.0659095,181226.1307278
665,2017-01-21,176182.6092574,181197.8747838
666,2017-01-22,178299.67247,181371.7409599
667,2017-01-23,185783.1310271,188267.9383518
668,2017-01-24,184365.7026232,189934.4957975
669,2017-01-25,182516.4404142,191025.3771235
670,2017-01-26,178685.5706878,188777.9269572
671,2017-01-27,175992.7134765,186503.0463682
672,2017-01-28,168844.1219309,181953.1974789
673,2017-01-29,167377.2747786,179644.2763614
674,2017-01-30,179620.1326489,189917.1937754
675,2017-01-31,183155.7951452,190699.9125751
676,2017-02-01,182647.1052987,191910.2369791
677,2017-02-02,184005.1029923,193585.1865789
678,2017-02-03,184850.5166203,193997.6031774
679,2017-02-04,179253.7678808,183032.0687
680,2017-02-05,179141.3845234,181836.0977215
681,2017-02-06,190401.2403595,195608.136568
682,2017-02-07,190808.5283968,196680.8453874
683,2017-02-08,189939.934227,197092.6233969
684,2017-02-09,187062.6912988,194581.1022022
685,2017-02-10,182531.8330036,187421.4012939
686,2017-02-11,173470.3442626,176059.8526876
687,2017-02-12,169871.2113708,173869.1063508
688,2017-02-13,175499.4284053,182638.630824
689,2017-02-14,174514.8246187,181610.11879469999
690,2017-02-15,173353.9320599,178998.4674111
691,2017-02-16,171354.1610657,177832.9348262
692,2017-02-17,170306.5190839,172665.0986192
693,2017-02-18,166928.3960588,167390.101914
694,2017-02-19,165917.5092657,165557.791034
695,2017-02-20,168552.7385026,170085.9489837
696,2017-02-21,177159.0165197,179817.2555388
697,2017-02-22,177219.2443851,182355.0649889
698,2017-02-23,178621.9344611,182889.8244567
699,2017-02-24,180227.7197897,181877.6893389
700,2017-02-25,173972.1593962,173017.4521503
701,2017-02-26,173444.271577,177047.1667388
702,2017-02-27,180220.9510637,184590.3872017
703,2017-02-28,181073.5758021,181667.6775984
704,2017-03-01,179422.9517889,179403.8208667
705,2017-03-02,177617.3075774,179159.6807611
706,2017-03-03,174428.3409491,177007.4020579
707,2017-03-04,172806.408341,175344.9571923
708,2017-03-05,173126.0952354,175893.3240434
709,2017-03-06,179663.3344877,182082.7240247
710,2017-03-07,181147.0344596,185551.9823831
711,2017-03-08,182694.6420111,185914.9676472
712,2017-03-09,184111.3365177,188665.8901515
713,2017-03-10,184810.3817813,185278.519689
714,2017-03-11,179844.8943507,179989.4536942
715,2017-03-12,175858.4147762,172013.2954215
716,2017-03-13,180320.8221106,182450.7787067
717,2017-03-14,174948.3756414,178338.5807449
718,2017-03-15,172323.6725375,174435.9208268
719,2017-03-16,173774.3307407,170377.7437802
720,2017-03-17,171349.628143,171091.6989544
721,2017-03-18,162687.4681122,165242.0268048
722,2017-03-19,164105.2314965,162147.2185232
723,2017-03-20,175410.8882363,170586.3167604
724,2017-03-21,173811.2401061,173948.0289547
725,2017-03-22,172274.1607244,168071.258993
726,2017-03-23,173606.7998448,168306.0537619
727,2017-03-24,171144.4736211,165304.9000853
728,2017-03-25,163838.1393404,154847.3721493
729,2017-03-26,161409.1894084,155000.857011
730,2017-03-27,169612.9423985,163513.5117858
731,2017-03-28,172482.9035147,169744.0792145
732,2017-03-29,171273.0631197,168838.9505574
733,2017-03-30,172194.5570334,164109.668316
734,2017-03-31,170241.1836041,161682.7130247
735,2017-04-01,163159.44088069999,152138.0578021
736,2017-04-02,160559.4626846,146897.4556897
737,2017-04-03,166126.5467037,164288.9541473
738,2017-04-04,166122.9005488,164259.2863246
739,2017-04-05,164525.5349508,168021.9520563
740,2017-04-06,164675.4074519,169156.9105471
741,2017-04-07,164727.0694182,159286.9323127
742,2017-04-08,161250.5631598,149932.3254144
743,2017-04-09,160757.3649473,154825.5925457
744,2017-04-10,164327.1918612,165617.4179662
745,2017-04-11,164082.5041338,168067.70706
746,2017-04-12,165675.8995325,167978.7282552
747,2017-04-13,166424.0893881,167817.930072
748,2017-04-14,160288.9661363,156607.2467591
749,2017-04-15,158028.1873905,153976.6599893
750,2017-04-16,156467.277867,154284.47662549998
751,2017-04-17,164602.9383196,161845.48382270001
752,2017-04-18,165225.9239229,166973.5422544
753,2017-04-19,163685.7649682,165356.3834579
754,2017-04-20,165614.7321742,161434.2628057
755,2017-04-21,164474.9621397,158867.0978421
756,2017-04-22,160303.4422268,149510.6829463
757,2017-04-23,159773.3473058,148117.8695569
758,2017-04-24,165939.8968591,158817.9265167
759,2017-04-25,166793.9282622,153081.1793864
760,2017-04-26,167310.7528828,152028.5153736
761,2017-04-27,167004.8833258,151186.0251399
762,2017-04-28,165218.3413613,149564.0321294
763,2017-04-29,157113.457421,140486.927534
764,2017-04-30,156295.4292855,137994.7427976
765,2017-05-01,164530.9399154,161700.977405
766,2017-05-02,162774.8203172,165114.3163449
767,2017-05-03,164824.5856073,165646.1107584
768,2017-05-04,164183.6517999,163724.6685756
769,2017-05-05,165745.3930182,152515.03821
770,2017-05-06,161249.5577657,145746.75749709998
771,2017-05-07,156144.3319786,142268.4463187
772,2017-05-08,163153.4814972,162184.5641742
773,2017-05-09,162008.5111662,158313.4196741
774,2017-05-10,161886.4846979,156010.9733476
775,2017-05-11,162826.5792536,153229.2412758
776,2017-05-12,164252.3200447,153333.8794982
777,2017-05-13,162104.9672328,147182.7673345
778,2017-05-14,159323.8902356,143115.2435636
779,2017-05-15,165908.3308828,161314.4409369
780,2017-05-16,164662.5910996,156300.7325827
781,2017-05-17,162287.7297354,150486.8970543
782,2017-05-18,161592.109362,154094.2697121
783,2017-05-19,160849.8921435,153182.2873903
784,2017-05-20,151883.7062646,140261.8642402
785,2017-05-21,150447.6286472,139617.1954964
786,2017-05-22,155699.9814931,152761.7363509
787,2017-05-23,167986.0585712,167482.3229519
788,2017-05-24,164738.5802751,156173.0792926
789,2017-05-25,162275.7492789,158764.7372149
790,2017-05-26,161635.8414929,157090.809872
791,2017-05-27,156379.4392062,149863.2174974
792,2017-05-28,154269.825044,144589.7670304
793,2017-05-29,165382.9131024,153468.5295858
794,2017-05-30,166918.3611104,164063.9290333
795,2017-05-31,170083.9697741,166079.1477798
796,2017-06-01,170682.9123532,159884.9356273
797,2017-06-02,168128.2851392,157577.2180687
798,2017-06-03,157790.4297491,141389.2334991
799,2017-06-04,154988.9576788,138191.6178473
800,2017-06-05,162024.7615814,163678.0365715
801,2017-06-06,164403.9135734,161102.3104163
802,2017-06-07,167708.4354706,165035.6431406
803,2017-06-08,168405.7773368,160731.7183212
804,2017-06-09,164488.719126,155641.5747554
805,2017-06-10,154114.1413554,140648.3358647
806,2017-06-11,152650.7928774,138770.59882790002
807,2017-06-12,164205.6345469,151291.9952093
808,2017-06-13,161200.46045400001,145495.8206722
809,2017-06-14,160750.23164,146177.7236172
810,2017-06-15,160136.2046572,158118.617906
811,2017-06-16,162102.8891854,152698.3954555
812,2017-06-17,152456.7038235,140677.4189355
813,2017-06-18,151791.4066479,135892.4819445
814,2017-06-19,164477.1808324,163617.0669387
815,2017-06-20,165201.8130459,165348.8558936
816,2017-06-21,163223.5022553,158511.5443668
817,2017-06-22,165532.4418723,164589.2791366
818,2017-06-23,166964.1696198,165610.1245884
819,2017-06-24,160943.0332387,159841.1206446
